brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Bamboo Airways,896.978 VND/khách,06:15,10-12-2025,07:40,10-12-2025,1h 25m,SGN,DAD
Bamboo Airways,993.975 VND/khách,10:05,10-12-2025,11:30,10-12-2025,1h 25m,SGN,DAD
Vietnam Airlines,1.231.810 VND/khách,06:05,10-12-2025,07:25,10-12-2025,1h 20m,SGN,DAD
Vietnam Airlines,1.231.810 VND/khách,20:55,10-12-2025,22:15,10-12-2025,1h 20m,SGN,DAD
Vietnam Airlines,1.244.773 VND/khách,07:00,10-12-2025,08:20,10-12-2025,1h 20m,SGN,DAD
Vietnam Airlines,1.244.773 VND/khách,18:55,10-12-2025,20:15,10-12-2025,1h 20m,SGN,DAD
Vietnam Airlines,1.384.045 VND/khách,17:05,10-12-2025,18:20,10-12-2025,1h 15m,SGN,DAD
Vietnam Airlines,1.384.045 VND/khách,15:15,10-12-2025,16:35,10-12-2025,1h 20m,SGN,DAD
Vietnam Airlines,1.384.045 VND/khách,16:20,10-12-2025,17:40,10-12-2025,1h 20m,SGN,DAD
Vietnam Airlines,1.384.045 VND/khách,16:45,10-12-2025,18:05,10-12-2025,1h 20m,SGN,DAD
